Dates,Series2,Series1
24-Dec-2012,723.69,709.5
26-Dec-2012,730.1361,708.87
27-Dec-2012,734.5416,706.29
28-Dec-2012,735.0105,700.01
31-Dec-2012,751.9322,709.37
02-Jan-2013,773.8775,723.25
03-Jan-2013,781.6176,723.72
04-Jan-2013,804.3873,737.97
07-Jan-2013,808.225,734.75
08-Jan-2013,813.963,733.3
09-Jan-2013,826.2464,737.72
10-Jan-2013,837.8724,741.48
11-Jan-2013,843.5886,739.99
14-Jan-2013,831.7375,723.25
15-Jan-2013,840.9188,724.93
16-Jan-2013,836.7723,715.19
17-Jan-2013,839.3576,711.32
18-Jan-2013,838.8905,704.95
22-Jan-2013,843.444,702.87
23-Jan-2013,897.215,741.5
24-Jan-2013,919.6726,753.83
25-Jan-2013,927.0141,753.67
28-Jan-2013,930.9052,750.73
29-Jan-2013,942.1,753.68
30-Jan-2013,949.8258,753.83
31-Jan-2013,959.7263,755.69
01-Feb-2013,992.768,775.6
04-Feb-2013,979.1358,759.02
05-Feb-2013,995.462,765.74
06-Feb-2013,1008.9227,770.17
07-Feb-2013,1021.614,773.95
08-Feb-2013,1044.5421,785.37
11-Feb-2013,1048.4427,782.42
12-Feb-2013,1053.945,780.7
13-Feb-2013,1064.6896,782.86
14-Feb-2013,1079.3134,787.82
15-Feb-2013,1094.5746,793.17
19-Feb-2013,1121.5215,806.85
20-Feb-2013,1109.444,792.46
21-Feb-2013,1121.6973,795.53
22-Feb-2013,1135.5883,799.71
25-Feb-2013,1130.8011,790.77
26-Feb-2013,1137.7872,790.13
27-Feb-2013,1159.681,799.78
28-Feb-2013,1169.752,801.2
01-Mar-2013,1185.0992,806.19
04-Mar-2013,1215.2576,821.12
05-Mar-2013,1249.6332,838.68
06-Mar-2013,1247.07,831.38
07-Mar-2013,1257.3317,832.67
08-Mar-2013,1263.9104,831.52
11-Mar-2013,1277.2747,834.82
12-Mar-2013,1274.5194,827.61
13-Mar-2013,1279.2305,825.31
14-Mar-2013,1281.6024,821.54
15-Mar-2013,1279.4401,814.93
18-Mar-2013,1276.3082,807.79
19-Mar-2013,1290.1896,811.44
20-Mar-2013,1302.624,814.14
21-Mar-2013,1306.1285,811.26
22-Mar-2013,1312.7021,810.31
