Date,Series1,Series2
24-Dec-12,709.5,723.69
26-Dec-12,708.87,730.1361
27-Dec-12,706.29,734.5416
28-Dec-12,700.01,735.0105
31-Dec-12,709.37,751.9322
2-Jan-13,723.25,773.8775
3-Jan-13,723.72,781.6176
4-Jan-13,737.97,804.3873
7-Jan-13,734.75,808.225
8-Jan-13,733.3,813.963
9-Jan-13,737.72,826.2464
10-Jan-13,741.48,837.8724
11-Jan-13,739.99,843.5886
14-Jan-13,723.25,831.7375
15-Jan-13,724.93,840.9188
16-Jan-13,715.19,836.7723
17-Jan-13,711.32,839.3576
18-Jan-13,704.95,838.8905
22-Jan-13,702.87,843.444
23-Jan-13,741.5,897.215
24-Jan-13,753.83,919.6726
25-Jan-13,753.67,927.0141
28-Jan-13,750.73,930.9052
29-Jan-13,753.68,942.1
30-Jan-13,753.83,949.8258
31-Jan-13,755.69,959.7263
1-Feb-13,775.6,992.768
4-Feb-13,759.02,979.1358
5-Feb-13,765.74,995.462
6-Feb-13,770.17,1008.9227
7-Feb-13,773.95,1021.614
8-Feb-13,785.37,1044.5421
11-Feb-13,782.42,1048.4428
12-Feb-13,780.7,1053.945
13-Feb-13,782.86,1064.6896
14-Feb-13,787.82,1079.3134
15-Feb-13,793.17,1094.5746
19-Feb-13,806.85,1121.5215
20-Feb-13,792.46,1109.444
21-Feb-13,795.53,1121.6973
22-Feb-13,799.71,1135.5882
25-Feb-13,790.77,1130.8011
26-Feb-13,790.13,1137.7872
27-Feb-13,799.78,1159.681
28-Feb-13,801.2,1169.752
1-Mar-13,806.19,1185.0993
4-Mar-13,821.12,1215.2576
5-Mar-13,838.68,1249.6332
6-Mar-13,831.38,1247.07
7-Mar-13,832.67,1257.3317
8-Mar-13,831.52,1263.9104
11-Mar-13,834.82,1277.2746
12-Mar-13,827.61,1274.5194
13-Mar-13,825.31,1279.2305
14-Mar-13,821.54,1281.6024
15-Mar-13,814.93,1279.4401
18-Mar-13,807.79,1276.3082
19-Mar-13,811.44,1290.1896
20-Mar-13,814.14,1302.624
21-Mar-13,811.26,1306.1286
22-Mar-13,810.31,1312.7022
25-Mar-13,809.64,1319.7132
26-Mar-13,812.42,1332.3688
27-Mar-13,802.66,1324.389
28-Mar-13,794.03,1318.0898
1-Apr-13,801.19,1337.9873
2-Apr-13,813.04,1365.9072
3-Apr-13,806.4,1362.816
4-Apr-13,795.07,1351.619
5-Apr-13,783.05,1339.0155
8-Apr-13,774.85,1332.742
9-Apr-13,777.65,1345.3345
10-Apr-13,790.18,1374.9132
11-Apr-13,790.39,1383.1825
12-Apr-13,790.05,1390.488
15-Apr-13,781.93,1384.0161
16-Apr-13,793.37,1412.1986
17-Apr-13,782.56,1400.7824
18-Apr-13,765.35,1377.63
19-Apr-13,799.87,1447.7647
22-Apr-13,799.71,1455.4722
23-Apr-13,807.9,1478.457
24-Apr-13,813.74,1497.2816
25-Apr-13,809.1,1496.835
26-Apr-13,801.42,1490.6412
29-Apr-13,819.06,1531.6422
30-Apr-13,824.57,1550.1916
1-May-13,820.43,1550.6127
2-May-13,829.61,1576.259
3-May-13,845.72,1615.3252
6-May-13,861.55,1654.176
7-May-13,857.23,1654.4539
8-May-13,873.63,1694.8422
9-May-13,871.48,1699.386
10-May-13,880.23,1725.2508
13-May-13,877.53,1728.7341
14-May-13,887.1,1756.458
15-May-13,915.89,1822.6211
16-May-13,903.87,1807.74
17-May-13,909.18,1827.4518
20-May-13,908.53,1835.2306
21-May-13,906.97,1841.1491
22-May-13,889.42,1814.4168
23-May-13,882.79,1809.7195
24-May-13,873.32,1799.0392
28-May-13,881.27,1824.2289
29-May-13,868.31,1806.0848
30-May-13,870.76,1819.8884
31-May-13,870.41,1827.861
3-Jun-13,867.63,1830.6993
4-Jun-13,859.1,1821.292
5-Jun-13,859.7,1831.161
6-Jun-13,864.64,1850.3296
7-Jun-13,879.73,1891.4195
10-Jun-13,890.6,1923.696
11-Jun-13,879.81,1909.1877
12-Jun-13,871.98,1900.9164
13-Jun-13,877,1920.63
14-Jun-13,875.04,1925.088
17-Jun-13,886.25,1958.6125
18-Jun-13,900.62,1999.3764
19-Jun-13,900.68,2008.5164
20-Jun-13,884.74,1981.8176
21-Jun-13,880.98,1982.205
24-Jun-13,869.24,1964.4824
25-Jun-13,866.19,1966.2513
26-Jun-13,873.65,1991.922
27-Jun-13,877.07,2008.4903
28-Jun-13,880.37,2024.851
1-Jul-13,887.88,2051.0028
2-Jul-13,882.31,2046.9592
3-Jul-13,886.43,2065.3819
5-Jul-13,893.49,2090.7666
8-Jul-13,905.09,2126.9615
9-Jul-13,905.24,2136.3664
10-Jul-13,905.99,2147.1963
11-Jul-13,919.67,2188.8146
12-Jul-13,923,2205.97
15-Jul-13,924.69,2219.256
16-Jul-13,919.49,2215.9709
17-Jul-13,918.55,2222.891
18-Jul-13,910.68,2212.9524
19-Jul-13,897.12,2188.9728
22-Jul-13,910.7,2231.215
23-Jul-13,903.8,2223.348
24-Jul-13,902.9,2230.163
25-Jul-13,887.7,2201.496
26-Jul-13,885.35,2204.5215
29-Jul-13,882.27,2205.675
30-Jul-13,890.92,2236.2092
31-Jul-13,887.6,2236.752
1-Aug-13,904.22,2287.6766
2-Aug-13,906.57,2302.6878
5-Aug-13,905,2307.75
6-Aug-13,896.57,2295.2192
7-Aug-13,890.65,2288.9705
8-Aug-13,892.66,2303.0628
9-Aug-13,890.41,2306.1619
12-Aug-13,885.51,2302.326
13-Aug-13,881.25,2300.0625
14-Aug-13,869.81,2278.9022
15-Aug-13,859.56,2260.6428
16-Aug-13,856.54,2261.2656
19-Aug-13,865.65,2293.9725
20-Aug-13,865.42,2302.0172
21-Aug-13,869.33,2321.1111
22-Aug-13,873.71,2341.5428
23-Aug-13,870.21,2340.8649
26-Aug-13,866.39,2339.253
27-Aug-13,850.15,2303.9065
28-Aug-13,848.55,2308.056
29-Aug-13,855.13,2334.5049
30-Aug-13,846.9,2320.506
3-Sep-13,860.38,2366.045
4-Sep-13,871.85,2406.306
5-Sep-13,879.56,2436.3812
6-Sep-13,879.58,2445.2324
9-Sep-13,887.88,2477.1852
10-Sep-13,888.67,2488.276
11-Sep-13,896.19,2518.2939
12-Sep-13,893.3,2519.106
13-Sep-13,888.24,2513.7192
16-Sep-13,887.76,2521.2384
17-Sep-13,886.11,2525.4135
18-Sep-13,903.32,2583.4952
19-Sep-13,898.39,2578.3793
20-Sep-13,903.31,2601.5328
23-Sep-13,886.5,2561.985
24-Sep-13,886.84,2571.836
25-Sep-13,877.23,2552.7393
26-Sep-13,878.17,2564.2564
27-Sep-13,876.39,2567.8227
30-Sep-13,875.91,2575.1754
1-Oct-13,887.63,2618.5085
2-Oct-13,887.38,2626.6448
3-Oct-13,876.09,2601.9873
4-Oct-13,872.35,2599.603
7-Oct-13,865.74,2588.5626
8-Oct-13,853.67,2561.01
9-Oct-13,855.86,2576.1386
10-Oct-13,868.24,2622.0848
11-Oct-13,871.99,2642.1297
14-Oct-13,875.94,2662.8576
15-Oct-13,882.01,2690.1305
16-Oct-13,897.81,2747.2986
17-Oct-13,889.21,2729.8747
18-Oct-13,1011.65,3115.882
21-Oct-13,1003.27,3100.1043
22-Oct-13,1007,3121.7
23-Oct-13,1031.45,3207.8095
24-Oct-13,1025.55,3199.716
25-Oct-13,1015.19,3177.5447
28-Oct-13,1015,3187.1
29-Oct-13,1036.24,3264.156
30-Oct-13,1030.42,3256.1272
31-Oct-13,1030.58,3266.9386
1-Nov-13,1027.04,3265.9872
4-Nov-13,1026,3272.94
5-Nov-13,1021.52,3268.864
6-Nov-13,1022.75,3283.0275
7-Nov-13,1007.95,3245.599
8-Nov-13,1016.03,3281.7769
11-Nov-13,1010.59,3274.3116
12-Nov-13,1011.78,3288.285
13-Nov-13,1032.47,3365.8522
14-Nov-13,1035.23,3385.2021
15-Nov-13,1033.56,3390.0768
18-Nov-13,1031.55,3393.7995
19-Nov-13,1025.13,3382.929
20-Nov-13,1022.31,3383.8461
21-Nov-13,1034.07,3433.1124
22-Nov-13,1031.89,3436.1937
25-Nov-13,1045.93,3493.4062
26-Nov-13,1058.41,3545.6735
27-Nov-13,1063.11,3572.0496
29-Nov-13,1059.59,3570.8183
2-Dec-13,1054.48,3564.1424
3-Dec-13,1053.26,3570.5514
4-Dec-13,1058.18,3597.812
5-Dec-13,1057.34,3605.5294
6-Dec-13,1069.87,3658.9554
9-Dec-13,1078.14,3698.0202
10-Dec-13,1084.66,3731.2304
11-Dec-13,1077.29,3716.6505
12-Dec-13,1069.96,3702.0616
13-Dec-13,1060.79,3680.9413
